City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Castro,BR,69.1,overcast clouds,-24.79,-50.01,Grande Hotel
6,Busselton,AU,60.57,few clouds,-33.65,115.33,Broadwater Beach Resort
8,Rikitea,PF,72.23,overcast clouds,-23.12,-134.97,Chez Bianca & Benoit
9,Cabo San Lucas,MX,69.1,few clouds,22.89,-109.91,Hotel Estancia Real
14,Shimoda,JP,57.11,overcast clouds,34.67,138.95,黒船ホテル
27,Ahipara,NZ,58.78,broken clouds,-35.17,173.17,YHA Ahipara
50,Ushuaia,AR,55.02,broken clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
54,Lixourion,GR,60.8,broken clouds,38.2,20.43,Palatino
73,Kapaa,US,71.92,scattered clouds,22.08,-159.32,Coral Reef Resort
74,Muros,ES,56.08,overcast clouds,42.78,-9.06,Hotel-Restaurante La Muradana
95,Hermanus,ZA,72.81,few clouds,-34.42,19.23,Hermanus Backpackers
100,Tocopilla,CL,68.45,clear sky,-22.09,-70.2,hotel Isidora
101,Pafos,CY,67.78,broken clouds,34.77,32.42,Axiothea
110,Pisco,PE,73.45,few clouds,-13.7,-76.22,Hospedaje
115,Port Lincoln,AU,57.25,broken clouds,-34.73,135.87,Boston Hotel
118,Elizabeth City,US,62.02,moderate rain,36.29,-76.25,Quality Inn
124,Luderitz,,68.79,clear sky,-26.65,15.16,Seaview Hotel Zum Sperrgebiet
132,Ojinaga,MX,56.57,clear sky,29.57,-104.42,Hotel
134,Vila Franca Do Campo,PT,66.2,broken clouds,37.72,-25.43,Vinha d'Areia Beach Hotel
136,Ponta Do Sol,PT,74.01,clear sky,32.67,-17.1,Estalagem Ponta do Sol
137,Jesup,US,66.13,heavy intensity rain,31.61,-81.89,Days Inn
138,Port Macquarie,AU,59.9,overcast clouds,-31.43,152.92,The Observatory
146,Jalu,LY,67.66,clear sky,29.03,21.55,فندق جالو السياحي
153,Mar Del Plata,AR,72.82,light rain,-38.0,-57.56,Nuevo Ostende
156,Coquimbo,CL,65.93,overcast clouds,-29.95,-71.34,Hotel Liverpool
168,Kadirli,TR,60.96,overcast clouds,37.37,36.1,Karatepe Park Otel
170,Lompoc,US,56.79,overcast clouds,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
177,Kineta,GR,58.6,overcast clouds,37.97,23.22,Kinetta Beach Resort & Spa
181,Ihosy,MG,74.37,overcast clouds,-22.4,46.12,HOTEL BIENVENUE
183,Bredasdorp,ZA,73.89,broken clouds,-34.53,20.04,Victoria Hotel
195,Hasaki,JP,55.8,overcast clouds,35.73,140.83,Choshi Plaza Hotel
199,Guerrero Negro,MX,61.52,clear sky,27.98,-114.06,Plaza sal paraiso
201,Trelew,AR,74.91,scattered clouds,-43.25,-65.31,Hotel Galicia
202,Aguimes,ES,71.65,few clouds,27.91,-15.45,Los Camellos
203,Tres Arroyos,AR,71.53,overcast clouds,-38.37,-60.28,Andrea Hotel
206,Rio Gallegos,AR,64.45,few clouds,-51.62,-69.22,Aire de Patagonia
209,Alexandria,EG,71.56,scattered clouds,31.22,29.96,Hilton Alexandria Green Plaza
211,Valparaiso,CL,68.0,broken clouds,-33.04,-71.63,Hotel Casa Higueras
223,Kamina,CD,69.46,light rain,-8.74,24.99,Hôtel DG
224,Victoria,HK,67.24,overcast clouds,22.29,114.16,四季酒店 Four Seasons Hotel
225,Hyeres,FR,59.65,clear sky,43.12,6.12,Hôtel Les Orangers
240,Cidreira,BR,72.75,broken clouds,-30.18,-50.21,Hotel Castelo
255,Denizli,TR,57.87,overcast clouds,37.84,29.07,Anemon Denizli Otel
264,Arona,ES,66.38,broken clouds,28.1,-16.68,Hotel Rural La Correa
265,Cotacachi,EC,65.75,broken clouds,0.3,-78.27,Hotel Garden La Mirage
273,Mareeba,AU,72.45,light rain,-17.0,145.43,The Gateway Hotel
