City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khunti,IN,23.08,85.28,62.71,57,3,4.74,clear sky
1,Spornoye,RU,50.84,37.29,27.41,55,100,14.36,overcast clouds
2,Marion,US,39.77,-86.16,31.21,67,20,19.57,few clouds
3,Castro,BR,-24.79,-50.01,69.1,80,97,2.3,overcast clouds
4,Mataura,NZ,-46.19,168.86,41.05,81,45,3.44,scattered clouds
5,Baykit,RU,61.67,96.37,-5.1,96,100,6.22,overcast clouds
6,Busselton,AU,-33.65,115.33,60.57,94,13,7.76,few clouds
7,Attingal,IN,8.68,76.83,82.08,88,23,3.42,few clouds
8,Rikitea,PF,-23.12,-134.97,72.23,72,100,12.39,overcast clouds
9,Cabo San Lucas,MX,22.89,-109.91,69.1,72,20,6.91,few clouds
10,North Bend,US,43.41,-124.22,49.91,94,100,17.27,overcast clouds
11,Eureka,US,40.8,-124.16,49.93,70,100,7.0,overcast clouds
12,Lebu,CL,-37.62,-73.65,57.9,63,8,20.58,clear sky
13,Lavrentiya,RU,65.58,-171.0,29.93,97,100,8.77,snow
14,Shimoda,JP,34.67,138.95,57.11,81,89,10.25,overcast clouds
15,Nemuro,JP,43.32,145.57,29.62,57,33,23.87,scattered clouds
16,Punta Arenas,CL,-53.15,-70.92,53.62,50,75,25.32,broken clouds
17,Naryan-Mar,RU,67.67,53.09,4.66,96,10,7.45,clear sky
18,Kieta,PG,-6.22,155.63,79.09,87,96,5.03,light rain
19,Riyadh,SA,24.69,46.72,75.34,26,54,8.52,broken clouds
20,Eatonton,US,33.33,-83.39,62.24,88,100,7.38,overcast clouds
21,Mwinilunga,ZM,-11.74,24.43,67.46,89,100,2.93,moderate rain
22,Tasiilaq,GL,65.61,-37.64,35.76,98,100,17.34,moderate rain
23,Vaini,TO,-21.2,-175.2,75.36,94,75,5.75,broken clouds
24,Det Udom,TH,14.91,105.08,80.42,70,55,0.6,broken clouds
25,Georgetown,MY,5.41,100.34,82.24,88,20,1.14,few clouds
26,Longyearbyen,SJ,78.22,15.64,37.24,65,40,12.66,scattered clouds
27,Ahipara,NZ,-35.17,173.17,58.78,65,83,15.57,broken clouds
28,Kvarkeno,RU,52.08,59.72,3.18,80,8,7.87,clear sky
29,Mount Gambier,AU,-37.83,140.77,50.05,97,79,3.18,broken clouds
30,Port Alfred,ZA,-33.59,26.89,74.37,82,20,17.81,light rain
31,Shaunavon,CA,49.65,-108.42,-2.42,91,99,13.69,overcast clouds
32,Kaitangata,NZ,-46.28,169.85,43.43,79,37,7.99,scattered clouds
33,New Norfolk,AU,-42.78,147.06,51.71,64,98,2.71,overcast clouds
34,Hithadhoo,MV,-0.6,73.08,81.82,72,65,7.67,broken clouds
35,Acajutla,SV,13.59,-89.83,82.6,61,47,1.7,scattered clouds
36,Clyde River,CA,70.47,-68.59,-28.97,68,0,5.75,clear sky
37,San Patricio,US,28.02,-97.52,55.27,49,3,21.21,clear sky
38,Albany,US,42.6,-73.97,45.95,84,100,10.0,overcast clouds
39,Immokalee,US,26.42,-81.42,82.94,69,40,8.05,scattered clouds
40,Santa Fe,AR,-31.63,-60.7,87.3,23,68,15.61,light rain
41,Kutum,SD,14.2,24.67,79.05,21,12,7.23,few clouds
42,Nikolskoye,RU,59.7,30.79,24.69,86,100,4.32,overcast clouds
43,Dunmore Town,BS,25.5,-76.65,79.34,75,15,15.08,few clouds
44,Sumkino,RU,58.11,68.32,-4.47,93,95,4.99,overcast clouds
45,Kavieng,PG,-2.57,150.8,82.08,72,79,4.07,broken clouds
46,Nouakchott,MR,18.09,-15.98,87.73,38,0,12.66,clear sky
47,Yar-Sale,RU,66.83,70.83,-8.3,100,35,3.53,scattered clouds
48,Codrington,AU,-38.27,141.97,54.95,93,100,4.07,overcast clouds
49,Laguna,US,38.42,-121.42,49.01,93,0,0.0,clear sky
50,Ushuaia,AR,-54.8,-68.3,55.02,50,75,27.63,broken clouds
