City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiznit,MA,2022-11-24 18:09:12,29.5833,-9.5,66.07,41,85,3.29
1,Vila Franca Do Campo,PT,2022-11-24 18:09:12,37.7167,-25.4333,64.2,71,46,2.84
2,Port Alfred,ZA,2022-11-24 18:09:12,-33.5906,26.891,65.17,76,100,4.0
3,Ushuaia,AR,2022-11-24 18:04:14,-54.8,-68.3,56.86,35,75,18.41
4,Cape Town,ZA,2022-11-24 18:06:32,-33.9258,18.4232,63.09,54,59,5.99
5,Orebro,SE,2022-11-24 18:09:13,59.2741,15.2066,37.26,70,75,2.3
6,Mahibadhoo,MV,2022-11-24 18:09:13,3.7833,72.9667,79.99,81,78,12.24
7,Lagoa,PT,2022-11-24 18:09:14,39.05,-27.9833,60.71,58,64,14.12
8,Villazon,BO,2022-11-24 18:09:14,-22.0866,-65.5942,66.63,9,35,17.13
9,Kaoma,ZM,2022-11-24 18:09:14,-14.7833,24.8,65.71,86,87,3.13
10,East London,ZA,2022-11-24 18:04:25,-33.0153,27.9116,66.9,78,82,16.42
11,Qaanaaq,GL,2022-11-24 18:09:15,77.484,-69.3632,8.53,95,99,3.02
12,Manicore,BR,2022-11-24 18:09:16,-5.8092,-61.3003,86.79,57,85,3.71
13,Husavik,IS,2022-11-24 18:09:16,66.0449,-17.3389,40.01,96,100,20.49
14,Touros,BR,2022-11-24 18:09:16,-5.1989,-35.4608,83.57,64,41,14.09
15,Hermanus,ZA,2022-11-24 18:09:17,-34.4187,19.2345,59.81,56,88,10.27
16,Salalah,OM,2022-11-24 18:09:18,17.0151,54.0924,78.89,65,40,3.44
17,Faya,SA,2022-11-24 18:09:18,18.3851,42.4509,55.92,63,0,5.68
18,Olafsvik,IS,2022-11-24 18:09:19,64.8945,-23.7142,42.12,86,100,26.35
19,Bambous Virieux,MU,2022-11-24 18:09:19,-20.3428,57.7575,77.22,71,3,13.82
20,Jamestown,US,2022-11-24 18:09:19,42.097,-79.2353,49.64,43,0,9.22
21,Hamilton,US,2022-11-24 18:07:02,39.1834,-84.5333,65.07,37,0,10.36
22,Grand Gaube,MU,2022-11-24 18:09:20,-20.0064,57.6608,77.38,69,1,7.0
23,Derzhavinsk,KZ,2022-11-24 18:09:20,51.1,66.3167,32.74,95,100,8.77
24,Mpongwe,ZM,2022-11-24 18:09:20,-13.5091,28.155,66.31,88,87,4.54
25,Kutum,SD,2022-11-24 18:09:21,14.2,24.6667,70.39,21,0,11.72
26,Ponta Do Sol,PT,2022-11-24 18:09:21,32.6667,-17.1,70.72,68,98,2.59
27,Dikson,RU,2022-11-24 18:09:22,73.5069,80.5464,-11.9,93,100,20.27
28,Mar Del Plata,AR,2022-11-24 18:07:47,-38.0023,-57.5575,72.82,60,0,20.71
29,Sorland,NO,2022-11-24 18:09:22,67.667,12.6934,35.46,70,14,15.66
30,Nadym,RU,2022-11-24 18:09:23,65.5333,72.5167,-25.28,96,19,6.44
31,Zemio,CF,2022-11-24 18:09:23,5.0314,25.1361,77.94,60,99,3.62
32,Punta Arenas,CL,2022-11-24 18:09:24,-53.15,-70.9167,55.51,41,40,44.87
33,Caravelas,BR,2022-11-24 18:09:24,-17.7125,-39.2481,81.68,65,94,9.8
34,Morondava,MG,2022-11-24 18:09:24,-20.2833,44.2833,80.94,65,32,5.21
35,Kayerkan,RU,2022-11-24 18:09:25,69.3497,87.7602,-30.17,98,42,2.28
36,Chapais,CA,2022-11-24 18:09:25,49.7834,-74.8492,26.38,92,100,9.46
37,Muli,MV,2022-11-24 18:09:25,2.9167,73.5667,80.35,80,29,13.38
38,Los Llanos De Aridane,ES,2022-11-24 18:09:26,28.6585,-17.9182,67.75,91,20,6.91
39,Ustye,RU,2022-11-24 18:09:26,59.6304,39.736,13.8,94,23,5.57
40,Chuy,UY,2022-11-24 18:09:26,-33.6971,-53.4616,83.41,38,0,6.46
41,Yar-Sale,RU,2022-11-24 18:09:27,66.8333,70.8333,-17.73,99,37,7.45
42,Kembe,CF,2022-11-24 18:09:27,4.6228,21.8865,77.0,65,89,1.28
43,Nantucket,US,2022-11-24 18:05:02,41.2835,-70.0995,48.34,63,0,6.91
44,Sao Filipe,CV,2022-11-24 18:10:28,14.8961,-24.4956,77.68,59,83,11.56
45,Cabedelo,BR,2022-11-24 18:10:28,-6.9811,-34.8339,86.67,67,10,11.34
46,Clyde River,CA,2022-11-24 18:10:29,70.4692,-68.5914,-10.05,74,7,3.29
47,Bredasdorp,ZA,2022-11-24 18:10:29,-34.5322,20.0403,59.7,54,97,11.68
48,Mahebourg,MU,2022-11-24 18:10:30,-20.4081,57.7,77.25,72,4,13.78
49,Garh Maharaja,PK,2022-11-24 18:10:30,30.8339,71.9053,65.68,18,1,5.12
50,Rocha,UY,2022-11-24 18:08:52,-34.4833,-54.3333,89.67,27,0,8.55
51,Cidreira,BR,2022-11-24 18:07:28,-30.1811,-50.2056,71.62,53,0,9.22
52,Busselton,AU,2022-11-24 18:10:31,-33.65,115.3333,57.09,84,32,1.99
53,Salta,AR,2022-11-24 18:10:31,-24.7859,-65.4117,93.79,15,75,8.05
